Orthogroup	c_briggsae.AF16.prot	c_briggsae.QX1410.prot	c_elegans.prot	c_nigoni.prot
OG0009027	Transcript_CBG21208.1	transcript_QX1410.14338.1, transcript_QX1410.14338.2	Transcript_F45G2.7.1	Cni-F45G2.7
OG0009028	Transcript_CBG21206.1	transcript_QX1410.14341.1, transcript_QX1410.14341.2	Transcript_F45G2.9.1	Cni-F45G2.9
OG0009029	Transcript_CBG21198.1	transcript_QX1410.14348.1	Transcript_T27E9.7.1	Cni-abcf-2.1, Cni-abcf-2.3
OG0009030	Transcript_CBG21199.1	transcript_QX1410.14349.1, transcript_QX1410.14349.2	Transcript_Y76A2A.1.1	Cni-tag-164
OG0009031	Transcript_CBG21197.1	transcript_QX1410.14350.1	Transcript_Y76A2A.2a.1, Transcript_Y76A2A.2b.1	Cni-cua-1
OG0009032	Transcript_CBG21182.1	transcript_QX1410.14361.1	Transcript_C34E10.2.1	Cni-gop-2.1, Cni-gop-2.2
OG0009033	Transcript_CBG31167.1	transcript_QX1410.14373.1	Transcript_C34E10.4a.1, Transcript_C34E10.4a.2	Cnig_chr_III.g11656
OG0009034	Transcript_CBG21151.1	transcript_QX1410.12071.1, transcript_QX1410.12086.1, transcript_QX1410.12086.2		Cnig_chr_III.g8965
OG0009035	Transcript_CBG21148.1	transcript_QX1410.12088.1	Transcript_F23F12.3.1	Cnig_chr_III.g8967.1, Cnig_chr_III.g8967.2
OG0009036	Transcript_CBG21146.1	transcript_QX1410.13199.1	Transcript_F23F12.10.1	Cnig_chr_III.g10330.1, Cnig_chr_III.g10330.2
OG0009037	Transcript_CBG21144a.1	transcript_QX1410.12091.1	Transcript_C05D10.2a.1	Cni-C05D10.2.1, Cni-C05D10.2.2
OG0009038	Transcript_CBG24280.1, Transcript_CBG24280.2	transcript_QX1410.14399.1	Transcript_F53A2.5.1	Cni-dro-1
OG0009039	Transcript_CBG24283.1	transcript_QX1410.14402.1, transcript_QX1410.14402.2		Cnig_chr_III.g11741.1, Cnig_chr_III.g11741.2
OG0009040	Transcript_CBG24284.1	transcript_QX1410.14403.1	Transcript_F53A2.1.1	Cni-F53A2.1.1, Cni-F53A2.1.2
OG0009041	Transcript_CBG23050.1	transcript_QX1410.14410.1	Transcript_Y75B8A.18a.1, Transcript_Y75B8A.18b.1	Cni-Y75B8A.18
OG0009042	Transcript_CBG23048.1	transcript_QX1410.14412.1, transcript_QX1410.14412.2	Transcript_Y75B8A.16.1	Cnig_chr_III.g11732
OG0009043	Transcript_CBG23036.1	transcript_QX1410.14421.1	Transcript_R144.1.1	Cni-klp-6.1, Cni-klp-6.2
OG0009044	Transcript_CBG23028.1	transcript_QX1410.14429.1, transcript_QX1410.14429.2	Transcript_C45G9.2.1	Cni-C45G9.2
OG0009045	Transcript_CBG23021.1	transcript_QX1410.14435.1	Transcript_C45G9.7.1, Transcript_C45G9.7.2	Cni-C45G9.7
OG0009046	Transcript_CBG23020.1	transcript_QX1410.14436.1	Transcript_Y75B8A.11a.1	Cni-Y75B8A.11.1, Cni-Y75B8A.11.2
OG0009047	Transcript_CBG23019.1	transcript_QX1410.14438.1	Transcript_Y75B8A.9a.1, Transcript_Y75B8A.9b.1	Cni-gly-11
OG0009048	Transcript_CBG23018.1	transcript_QX1410.14439.1	Transcript_F58F6.4.1	Cni-rfc-2.1, Cni-rfc-2.2
OG0009049	Transcript_CBG30266.1	transcript_QX1410.14474.1, transcript_QX1410.14474.2	Transcript_K12H4.5.1	Cni-K12H4.5
OG0009050	Transcript_CBG22972.1	transcript_QX1410.14479.1, transcript_QX1410.14479.2	Transcript_K06H7.7.1	Cni-K06H7.7
OG0009051	Transcript_CBG22962.1	transcript_QX1410.14487.1	Transcript_F44B9.5.1	Cni-F44B9.5.1, Cni-F44B9.5.2
OG0009052	Transcript_CBG22951.1	transcript_QX1410.14504.2, transcript_QX1410.14504.3	Transcript_C06G4.6.1	Cni-C06G4.6.1
OG0009053	Transcript_CBG22936a.1, Transcript_CBG22936b.1	transcript_QX1410.14518.1	Transcript_F22B7.10.1	Cni-dpy-19
OG0009054	Transcript_CBG22937.1	transcript_QX1410.14519.1	Transcript_F22B7.1.1	Cni-F22B7.1.1, Cni-F22B7.1.2
OG0009055	Transcript_CBG22935.1	transcript_QX1410.14521.1, transcript_QX1410.14524.1	Transcript_F22B7.9.1	Cni-F22B7.9
OG0009056	Transcript_CBG26101.1	transcript_QX1410.14522.1	Transcript_F22B7.2a.1, Transcript_F22B7.2b.1	Cni-flp-23
OG0009057	Transcript_CBG22921.1	transcript_QX1410.14533.1, transcript_QX1410.14533.2		Cni-C06G4.1, Cnig_chr_III.g11823
OG0009058	Transcript_CBG22920.1	transcript_QX1410.14534.1	Transcript_C13G5.1.1, Transcript_C13G5.1.2	Cni-ceh-16.1
OG0009059	Transcript_CBG00585.1	transcript_QX1410.14625.1, transcript_QX1410.14625.2	Transcript_R151.7.1	Cni-hsp-75
OG0009060	Transcript_CBG00588.1	transcript_QX1410.14620.1	Transcript_B0303.2.1, Transcript_B0303.2.2	Cni-anmt-1
OG0009061	Transcript_CBG00591.1	transcript_QX1410.14616.1	Transcript_ZK637.2.1	Cni-ZK637.2.1, Cni-ZK637.2.2
OG0009062	Transcript_CBG00594.1	transcript_QX1410.14614.1	Transcript_ZK637.4.1	Cni-ZK637.4.1, Cni-ZK637.4.2
OG0009063	Transcript_CBG00598.1	transcript_QX1410.14610.1	Transcript_F56C9.1.1	Cnig_chr_III.g11905.1, Cnig_chr_III.g11905.2
OG0009064	Transcript_CBG00605.1	transcript_QX1410.14604.1, transcript_QX1410.14604.2	Transcript_F56C9.7.1	Cni-F56C9.7
OG0009065	Transcript_CBG00608.1, Transcript_CBG15351.1	transcript_QX1410.14601.1	Transcript_F56C9.5.1	Cni-acbp-4
OG0009066	Transcript_CBG15297a.1, Transcript_CBG15297b.1	transcript_QX1410.14549.1	Transcript_F08F8.4.1	Cni-F08F8.4
OG0009067	Transcript_CBG26103.1	transcript_QX1410.14550.1, transcript_QX1410.14550.2		Cnig_chr_III.g11841.1, Cnig_chr_III.g11841.2
OG0009068	Transcript_CBG15299.1	transcript_QX1410.14552.1	Transcript_F08F8.7.1, Transcript_F08F8.7.2	Cni-F08F8.7
OG0009069	Transcript_CBG15306.1	transcript_QX1410.14558.1	Transcript_T28A8.7.1	Cni-mlh-1.1, Cni-mlh-1.2
OG0009070	Transcript_CBG15334.1	transcript_QX1410.14585.1, transcript_QX1410.14585.2	Transcript_C06E1.9.1	Cni-C06E1.9
OG0009071	Transcript_CBG15346.1	transcript_QX1410.14595.1	Transcript_B0361.7.1, Transcript_B0361.7.2	Cni-pho-5
OG0009072	Transcript_CBG15348a.1, Transcript_CBG15348b.1	transcript_QX1410.14597.1	Transcript_B0361.8.1	Cni-algn-11
OG0009073	Transcript_CBG24151.1	transcript_QX1410.14633.1	Transcript_T20H4.1a.1, Transcript_T20H4.1b.1	Cni-osm-10
OG0009074	Transcript_CBG24152.1	transcript_QX1410.14631.1, transcript_QX1410.14631.2	Transcript_T20H4.2.1	Cni-T20H4.2
OG0009075	Transcript_CBG24154.1	transcript_QX1410.14629.1, transcript_QX1410.14629.2	Transcript_T20H4.5.1	Cni-T20H4.5
OG0009076	Transcript_CBG00334.1	transcript_QX1410.18959.1	Transcript_Y116A8C.9a.1, Transcript_Y116A8C.9b.1	Cni-Y116A8C.9
OG0009077	Transcript_CBG00348.1	transcript_QX1410.18947.1	Transcript_Y105C5B.16a.1	Cnig_chr_IV.g12080.1, Cnig_chr_IV.g12080.2
OG0009078	Transcript_CBG00349.1	transcript_QX1410.18946.1		Cnig_chr_IV.g12079.1, Cnig_chr_IV.g12079.2, Cnig_chr_IV.g12079.3
OG0009079	Transcript_CBG00350.1	transcript_QX1410.18945.1	Transcript_Y116A8C.40a.1, Transcript_Y116A8C.40b.1	Cnig_chr_IV.g12078
OG0009080	Transcript_CBG00360.1	transcript_QX1410.18937.1	Transcript_C52D10.12.1, Transcript_C52D10.12.2	Cni-cnnm-1
OG0009081	Transcript_CBG00365.1	transcript_QX1410.18931.1	Transcript_C08F8.4b.1, Transcript_C08F8.4c.1	Cni-mboa-4
OG0009082	Transcript_CBG00368.1	transcript_QX1410.18928.1	Transcript_ZK550.5.1	Cnig_chr_IV.g12057.1, Cnig_chr_IV.g12057.2
OG0009083	Transcript_CBG31060.1	transcript_QX1410.18912.1	Transcript_C41G7.8.1, Transcript_C41G7.8.2	Cnig_chr_IV.g12039
OG0009084	Transcript_CBG26219.1	transcript_QX1410.18908.1	Transcript_F11E6.11a.1, Transcript_F11E6.11b.1	Cni-F11E6.11
OG0009085	Transcript_CBG00392.1	transcript_QX1410.18906.1	Transcript_C49C3.9.1	Cni-C49C3.9.1, Cni-C49C3.9.2
OG0009086	Transcript_CBG00393.1	transcript_QX1410.18905.1	Transcript_C49C3.11.1	Cni-C49C3.11.1, Cni-C49C3.11.2
OG0009087	Transcript_CBG00394.1	transcript_QX1410.18904.1	Transcript_C49C3.12.1	Cni-clec-197.1, Cni-clec-197.2
OG0009088	Transcript_CBG00395.1	transcript_QX1410.18903.1	Transcript_C49C3.13.1	Cnig_chr_IV.g12026.1, Cnig_chr_IV.g12026.2
OG0009089	Transcript_CBG00409.1	transcript_QX1410.18886.1, transcript_QX1410.18886.2	Transcript_T02D1.4.1	Cni-T02D1.4
OG0009090	Transcript_CBG30320.1	transcript_QX1410.18880.1	Transcript_C06G3.3.1	Cni-C06G3.3.1, Cni-C06G3.3.2
OG0009091	Transcript_CBG00417.1	transcript_QX1410.18878.1	Transcript_C06G3.8a.1, Transcript_C06G3.8b.1	Cnig_chr_IV.g11993
OG0009092	Transcript_CBG00419.1	transcript_QX1410.18876.1	Transcript_Y116A8C.35a.1, Transcript_Y116A8C.35a.2	Cni-uaf-2
OG0009093	Transcript_CBG00420.1	transcript_QX1410.18875.1	Transcript_Y116A8C.34a.1, Transcript_Y116A8C.34b.1	Cni-cyn-13
OG0009094	Transcript_CBG00427.1	transcript_QX1410.18869.1, transcript_QX1410.18869.2	Transcript_Y116A8C.42.1	Cni-snr-1
OG0009095	Transcript_CBG00433.1	transcript_QX1410.18863.1	Transcript_C06A1.3.1, Transcript_F58G1.3.1	Cnig_chr_IV.g11975
OG0009096	Transcript_CBG00439a.1, Transcript_CBG00439b.1	transcript_QX1410.18857.1	Transcript_F11E6.6.1	Cni-F11E6.6
OG0009097	Transcript_CBG00443.1	transcript_QX1410.18853.1	Transcript_F11E6.7.1, Transcript_F19H6.3.1	Cnig_chr_IV.g11965
OG0009098	Transcript_CBG00447.1	transcript_QX1410.18850.1	Transcript_C49C3.10a.1, Transcript_C49C3.10b.1	Cnig_chr_IV.g11960
OG0009099	Transcript_CBG26224.1	transcript_QX1410.18849.1		Cnig_chr_I.g801.1, Cnig_chr_I.g801.2, Cnig_chr_I.g801.3
OG0009100	Transcript_CBG00451.1	transcript_QX1410.18846.1	Transcript_C49C3.1.1, Transcript_Y43D4A.1.1	Cni-snf-9
OG0009101	Transcript_CBG00454.1	transcript_QX1410.18843.1	Transcript_F26D10.9a.1, Transcript_F26D10.9b.1	Cni-atgp-1
OG0009102	Transcript_CBG00458a.1, Transcript_CBG00458b.1	transcript_QX1410.18839.1	Transcript_C50F7.4.1	Cni-sucg-1
OG0009103	Transcript_CBG26238.1	transcript_QX1410.18985.1		Cnig_chr_IV.g12135.1, Cnig_chr_IV.g12135.4, Cnig_chr_IV.g12135.5
OG0009104	Transcript_CBG13818.1	transcript_QX1410.18988.1, transcript_QX1410.18988.2		Cnig_chr_IV.g12138.1, Cnig_chr_IV.g12138.2
OG0009105	Transcript_CBG13822.1	transcript_QX1410.18991.1	Transcript_R02C2.7.1, Transcript_Y105C5B.5a.1	Cnig_chr_IV.g12141
OG0009106	Transcript_CBG13651.1	transcript_QX1410.18995.1	Transcript_Y7A9A.1.1	Cni-Y7A9A.1.1, Cni-Y7A9A.1.2
OG0009107	Transcript_CBG13678.1	transcript_QX1410.19017.1	Transcript_R06C7.7a.1, Transcript_R06C7.7b.1	Cnig_chr_IV.g12161
OG0009108	Transcript_CBG13695.1	transcript_QX1410.19032.1	Transcript_Y105C5A.23.1	Cni-daf-38.1, Cni-daf-38.2
OG0009109	Transcript_CBG13704.1, Transcript_CBG13706.1	transcript_QX1410.19039.1		Cnig_chr_IV.g12194.1, Cnig_chr_IV.g12194.2
OG0009110	Transcript_CBG13732.1	transcript_QX1410.19062.1	Transcript_Y73F8A.6.1	Cni-ccg-1.1, Cni-ccg-1.2
OG0009111	Transcript_CBG13739.1	transcript_QX1410.19067.1		Cnig_chr_IV.g12244.1, Cnig_chr_IV.g12244.2, Cnig_chr_IV.g12244.3
OG0009112	Transcript_CBG13744.1	transcript_QX1410.19072.1	Transcript_Y40H7A.2a.1, Transcript_Y40H7A.3a.1	Cnig_chr_IV.g12249
OG0009113	Transcript_CBG13756.1	transcript_QX1410.19083.1		Cnig_chr_IV.g12259.1, Cnig_chr_IV.g12259.2, Cnig_chr_IV.g12259.3
OG0009114	Transcript_CBG13758.1	transcript_QX1410.19084.1	Transcript_F18C5.1.1, Transcript_Y40H7A.6.1	Cnig_chr_IV.g12260
OG0009115	Transcript_CBG13762.1	transcript_QX1410.19087.1	Transcript_C05D9.9a.1, Transcript_C05D9.9b.1	Cni-C05D9.9
OG0009116	Transcript_CBG13769.1	transcript_QX1410.19092.1, transcript_QX1410.19092.2		Cnig_chr_IV.g12270.1, Cnig_chr_IV.g12270.2
OG0009117	Transcript_CBG13781.1	transcript_QX1410.19104.1, transcript_QX1410.19104.2	Transcript_Y41E3.2.1	Cni-dpy-4
OG0009118	Transcript_CBG13798.1, Transcript_CBG13831.1	transcript_QX1410.19115.1	Transcript_Y41E3.18.1	Cnig_chr_IV.g12343
OG0009119	Transcript_CBG13811.1	transcript_QX1410.18977.1	Transcript_Y65A5A.1a.1, Transcript_Y65A5A.1b.1	Cni-Y65A5A.1
OG0009120	Transcript_CBG13838.1	transcript_QX1410.19122.1	Transcript_Y41E3.15.1	Cnig_chr_IV.g12359.1, Cnig_chr_IV.g12359.2
OG0009121	Transcript_CBG13843.1, Transcript_CBG13845.1	transcript_QX1410.19129.1	Transcript_M199.1.1	Cnig_chr_IV.g12363
OG0009122	Transcript_CBG13848.1	transcript_QX1410.19131.1	Transcript_M88.3.1	Cni-M88.3.1, Cni-M88.3.2
OG0009123	Transcript_CBG13856.1	transcript_QX1410.19139.1		Cnig_chr_IV.g12383.1, Cnig_chr_IV.g12383.2, Cnig_chr_IV.g12383.3
OG0009124	Transcript_CBG21499.1	transcript_QX1410.19144.1	Transcript_Y57G11C.22a.1	Cni-Y57G11C.22.1, Cni-Y57G11C.22.2
OG0009125	Transcript_CBG21501.1	transcript_QX1410.19145.1	Transcript_Y57G11C.17a.1	Cni-hhat-2.1, Cni-hhat-2.2
OG0009126	Transcript_CBG21507.1	transcript_QX1410.19150.1, transcript_QX1410.19150.2	Transcript_Y57G11C.16.1	Cni-rps-18
OG0009127	Transcript_CBG21508.1	transcript_QX1410.19151.1	Transcript_Y57G11C.15a.1, Transcript_Y57G11C.15b.1	Cnig_chr_IV.g12400
OG0009128	Transcript_CBG21512.1	transcript_QX1410.19156.1	Transcript_Y57G11C.12.1, Transcript_Y57G11C.12.2	Cni-nuo-3
OG0009129	Transcript_CBG21513a.1	transcript_QX1410.19157.1	Transcript_Y57G11C.11a.1	Cni-coq-3.1, Cni-coq-3.2
OG0009130	Transcript_CBG21525.1	transcript_QX1410.19168.1	Transcript_Y57G11C.3a.1, Transcript_Y57G11C.3b.1	Cni-Y57G11C.3
OG0009131	Transcript_CBG21527.1, Transcript_CBG21527.2	transcript_QX1410.19170.1	Transcript_Y57G11C.4.1	Cni-vti-1
OG0009132	Transcript_CBG21566.1	transcript_QX1410.19194.1		Cnig_chr_IV.g12458.1, Cnig_chr_IV.g12458.2, Cnig_chr_IV.g12458.3
OG0009133	Transcript_CBG21580.1	transcript_QX1410.19207.1	Transcript_LLC1.1a.1	Cni-tra-3.1, Cni-tra-3.2
OG0009134	Transcript_CBG21586.1	transcript_QX1410.19214.1		Cnig_chr_IV.g12486.1, Cnig_chr_IV.g12486.3, Cnig_chr_IV.g12486.4
OG0009135	Transcript_CBG21590.1, Transcript_CBG30428.1	transcript_QX1410.19218.1, transcript_QX1410.19540.1		Cnig_chr_IV.g12489
OG0009136	Transcript_CBG21600.1	transcript_QX1410.19230.1		Cnig_chr_IV.g12498.1, Cnig_chr_IV.g12498.2, Cnig_chr_IV.g12498.3
OG0009137	Transcript_CBG26251.1	transcript_QX1410.19236.1, transcript_QX1410.19236.2, transcript_QX1410.19236.3, transcript_QX1410.19236.4		
OG0009138	Transcript_CBG21606.1	transcript_QX1410.19240.1		Cnig_chr_IV.g12508.1, Cnig_chr_IV.g12508.2, Cnig_chr_IV.g12508.3
OG0009139	Transcript_CBG21609.1	transcript_QX1410.19242.1		Cnig_chr_IV.g12520.1, Cnig_chr_IV.g12520.2, Cnig_chr_IV.g12520.3
OG0009140	Transcript_CBG21614.1	transcript_QX1410.19247.1		Cnig_chr_IV.g12525.1, Cnig_chr_IV.g12525.2, Cnig_chr_IV.g12525.3
OG0009141	Transcript_CBG21625a.1, Transcript_CBG21625b.1	transcript_QX1410.19261.1	Transcript_Y67A10A.9.1	Cni-Y67A10A.9
OG0009142	Transcript_CBG21627a.1, Transcript_CBG21627b.1	transcript_QX1410.19263.1	Transcript_M163.3.1	Cnig_chr_IV.g12535
OG0009143	Transcript_CBG21632.1	transcript_QX1410.19268.1	Transcript_Y67A10A.10.1	Cni-Y67A10A.10.1, Cni-Y67A10A.10.2
OG0009144	Transcript_CBG18734a.1, Transcript_CBG18734b.1	transcript_QX1410.19289.1, transcript_QX1410.19289.2		Cnig_chr_IV.g12585
OG0009145	Transcript_CBG18736.1	transcript_QX1410.19291.1	Transcript_Y64G10A.6.1	Cnig_chr_IV.g12582, Cnig_chr_IV.g12587
OG0009146	Transcript_CBG18744.1	transcript_QX1410.19301.1, transcript_QX1410.19301.2		Cnig_chr_IV.g12604.1, Cnig_chr_IV.g12604.2
OG0009147	Transcript_CBG18750.1	transcript_QX1410.19307.1	Transcript_R05A10.2.1	Cni-R05A10.2.1, Cni-R05A10.2.2
OG0009148	Transcript_CBG18751.1	transcript_QX1410.19308.1	Transcript_R05A10.3.1	Cni-R05A10.3.1, Cni-R05A10.3.2
OG0009149	Transcript_CBG18761.1	transcript_QX1410.19316.1	Transcript_Y37A1B.5a.1, Transcript_Y37A1B.5b.1	Cni-Y37A1B.5
OG0009150	Transcript_CBG18762.1	transcript_QX1410.19317.1	Transcript_F52B11.2a.1, Transcript_F52B11.2b.1	Cni-F52B11.2
OG0009151	Transcript_CBG18772.1	transcript_QX1410.19321.2	Transcript_F52B11.3.1	Cni-noah-2.1, Cni-noah-2.2
OG0009152	Transcript_CBG22453.1	transcript_QX1410.19333.1	Transcript_Y37A1A.2.1, Transcript_Y37A1A.2.2	Cni-Y37A1A.2
OG0009153	Transcript_CBG22335.1	transcript_QX1410.19389.1		Cnig_chr_IV.g12721.1, Cnig_chr_IV.g12721.2, Cnig_chr_IV.g12722
OG0009154	Transcript_CBG22373.1	transcript_QX1410.19365.1	Transcript_Y45F10D.3a.1, Transcript_Y45F10D.3b.1	Cni-gly-10
OG0009155	Transcript_CBG22374.1	transcript_QX1410.19363.1	Transcript_Y45F10D.11a.1, Transcript_Y45F10D.11b.1	Cnig_chr_IV.g12696
OG0009156	Transcript_CBG22392.1	transcript_QX1410.19348.2		Cnig_chr_IV.g12679, Cnig_chr_IV.g12681, Cnig_chr_IV.g12683
OG0009157	Transcript_CBG22395.1	transcript_QX1410.19345.1	Transcript_B0513.9a.1, Transcript_B0513.9b.1	Cni-vamp-8
OG0009158	Transcript_CBG22401.1	transcript_QX1410.19341.1	Transcript_B0513.2a.1, Transcript_B0513.2a.2	Cni-B0513.2
OG0009159	Transcript_CBG11631.1	transcript_QX1410.19448.1, transcript_QX1410.19448.2		Cnig_chr_IV.g12836.1, Cnig_chr_IV.g12836.2
OG0009160	Transcript_CBG11634.1	transcript_QX1410.19443.1	Transcript_Y9C9A.3.1	Cni-str-163.1, Cni-str-163.2
OG0009161	Transcript_CBG11636.1	transcript_QX1410.19441.1	Transcript_Y9C9A.7.1	Cnig_chr_IV.g12830.1, Cnig_chr_IV.g12830.2
OG0009162	Transcript_CBG11638.1	transcript_QX1410.19439.1		Cnig_chr_IV.g12828.1, Cnig_chr_IV.g12828.2, Cnig_chr_IV.g12828.3
OG0009163	Transcript_CBG30464a.1, Transcript_CBG30464b.1	transcript_QX1410.19437.1		Cnig_chr_IV.g12825.1, Cnig_chr_IV.g12825.2
OG0009164	Transcript_CBG11646.1	transcript_QX1410.19431.1, transcript_QX1410.19438.1		Cnig_chr_IV.g12818.1, Cnig_chr_IV.g12818.2
OG0009165	Transcript_CBG11649.1	transcript_QX1410.19427.1	Transcript_R11E3.8a.1, Transcript_R11E3.8b.1	Cni-dpf-5
OG0009166	Transcript_CBG11656.1	transcript_QX1410.19422.1	Transcript_H06H21.8a.1, Transcript_H06H21.8b.1	Cni-H06H21.8
OG0009167	Transcript_CBG30424.1	transcript_QX1410.19414.1		Cnig_chr_IV.g12764.1, Cnig_chr_IV.g12764.2, Cnig_chr_IV.g12767
OG0009168	Transcript_CBG11670.1	transcript_QX1410.19408.1		Cnig_chr_IV.g12746.1, Cnig_chr_IV.g12746.2, Cnig_chr_IV.g12746.3
OG0009169	Transcript_CBG11679.1		Transcript_T08B6.7.1	Cnig_chr_IV.g12738.1, Cnig_chr_IV.g12738.2, Cnig_chr_IV.g12744.3
OG0009170	Transcript_CBG22665.1, Transcript_CBG23637.1	transcript_QX1410.19460.1	Transcript_K01H12.4.1	Cni-K01H12.4
OG0009171	Transcript_CBG22597.1	transcript_QX1410.19486.1, transcript_QX1410.19486.2		Cnig_chr_III.g9155, Cnig_chr_IV.g12224
OG0009172	Transcript_CBG22579.1	transcript_QX1410.19471.1, transcript_QX1410.19471.2		Cnig_chr_IV.g12879.1, Cnig_chr_IV.g12879.2
OG0009173	Transcript_CBG15002.1	transcript_QX1410.19496.1	Transcript_C28D4.10a.1, Transcript_C28D4.10b.1	Cni-C28D4.10
OG0009174	Transcript_CBG15010.1	transcript_QX1410.19501.1	Transcript_T13F2.8a.1, Transcript_T13F2.8b.1	Cni-cav-1
OG0009175	Transcript_CBG15011.1	transcript_QX1410.19503.1	Transcript_T13F2.7.1	Cni-sna-2.1, Cni-sna-2.2
OG0009176	Transcript_CBG15012.1	transcript_QX1410.19504.1	Transcript_T13F2.6.1	Cnig_chr_IV.g12930.1, Cnig_chr_IV.g12930.2
OG0009177	Transcript_CBG15014.1	transcript_QX1410.19506.1	Transcript_T13F2.5.1	Cni-sre-4.1, Cni-sre-4.2
OG0009178	Transcript_CBG15029.1	transcript_QX1410.19520.1	Transcript_C09G12.9.1	Cni-tsg-101, Cnig_chr_IV.g12950
OG0009179	Transcript_CBG15031.1	transcript_QX1410.19521.1	Transcript_C09G12.8b.1, Transcript_K03D3.10.1	Cnig_chr_IV.g12952
OG0009180	Transcript_CBG31525.1	transcript_QX1410.19529.1, transcript_QX1410.19529.2		Cnig_chr_IV.g12959.1, Cnig_chr_IV.g12959.2
OG0009181	Transcript_CBG15044.1	transcript_QX1410.19227.1, transcript_QX1410.19228.1, transcript_QX1410.19535.1		Cnig_chr_IV.g12496
OG0009182	Transcript_CBG15063a.1, Transcript_CBG15063b.1	transcript_QX1410.19550.1	Transcript_Y11D7A.11.1	Cni-col-120
OG0009183	Transcript_CBG15070.1	transcript_QX1410.19556.1, transcript_QX1410.19556.2	Transcript_Y11D7A.8.1	Cni-Y11D7A.8
OG0009184	Transcript_CBG15075.1	transcript_QX1410.19559.1, transcript_QX1410.19559.2	Transcript_Y11D7A.4.1	Cni-rab-28
OG0009185	Transcript_CBG15083.1	transcript_QX1410.19565.1, transcript_QX1410.19565.2	Transcript_C46C2.5.1	Cni-C46C2.5
OG0009186	Transcript_CBG26283.1	transcript_QX1410.19572.1		Cnig_chr_IV.g13004.1, Cnig_chr_IV.g13004.2, Cnig_chr_IV.g13004.3
OG0009187	Transcript_CBG21782a.1	transcript_QX1410.19585.1	Transcript_F23B2.5a.1, Transcript_F23B2.5c.1	Cni-flp-1.1
OG0009188	Transcript_CBG21773.1, Transcript_CBG21773.2	transcript_QX1410.19595.1	Transcript_C01F6.2.1	Cni-C01F6.2
OG0009189	Transcript_CBG21768.1	transcript_QX1410.19596.1	Transcript_C01F6.1.1	Cni-cpna-3.1, Cni-cpna-3.2
OG0009190	Transcript_CBG21760a.1, Transcript_CBG21760b.1	transcript_QX1410.19605.1		Cnig_chr_IV.g13037.1, Cnig_chr_IV.g13037.2
OG0009191	Transcript_CBG21752.1	transcript_QX1410.19614.1, transcript_QX1410.19614.3	Transcript_Y73F4A.3.1	Cnig_chr_IV.g13048.1
OG0009192	Transcript_CBG21749.1	transcript_QX1410.19616.1	Transcript_C53D6.7.1	Cni-C53D6.7.1, Cni-C53D6.7.2
OG0009193	Transcript_CBG30407.1	transcript_QX1410.19621.1	Transcript_C53D6.4a.1, Transcript_C53D6.4b.1	Cni-C53D6.4
OG0009194	Transcript_CBG21736.1	transcript_QX1410.19631.1, transcript_QX1410.19631.3	Transcript_C53B4.6a.1	Cni-nstp-1
OG0009195	Transcript_CBG21733.1	transcript_QX1410.19634.1	Transcript_C53B4.3.1, Transcript_C53B4.3.2	Cni-C53B4.3
OG0009196	Transcript_CBG26288.1	transcript_QX1410.19635.1, transcript_QX1410.4234.1, transcript_QX1410.4234.2		Cnig_chr_V.g21000
OG0009197	Transcript_CBG21726.1	transcript_QX1410.19641.1	Transcript_D1046.4.1	Cni-D1046.4.1, Cni-D1046.4.2
OG0009198	Transcript_CBG21720.1	transcript_QX1410.19646.1, transcript_QX1410.19646.2	Transcript_C27B7.8.1	Cni-rap-1.3
OG0009199	Transcript_CBG21718.1	transcript_QX1410.19648.1	Transcript_C27B7.7a.1	Cni-C27B7.7.1, Cni-C27B7.7.2
OG0009200	Transcript_CBG21707.1	transcript_QX1410.19659.1	Transcript_F49C12.8.1, Transcript_F49C12.8.2	Cni-rpn-7
OG0009201	Transcript_CBG21706.1	transcript_QX1410.19660.1	Transcript_F49C12.10.1	Cni-F49C12.10.1, Cni-F49C12.10.2
OG0009202	Transcript_CBG31179.1	transcript_QX1410.19670.1	Transcript_T20D3.14.1, Transcript_T20D3.14.2	Cnig_chr_IV.g13123
OG0009203	Transcript_CBG21694.1	transcript_QX1410.19672.1	Transcript_T20D3.6a.1, Transcript_T20D3.6b.1	Cni-T20D3.6
OG0009204	Transcript_CBG21657.1	transcript_QX1410.19697.2	Transcript_F59B8.2a.1, Transcript_F59B8.2b.1	Cni-idh-1
OG0009205	Transcript_CBG21663.1, Transcript_CBG21665.1	transcript_QX1410.19703.1, transcript_QX1410.20025.1		Cnig_chr_IV.g13274
OG0009206	Transcript_CBG21666.1	transcript_QX1410.19705.1	Transcript_F38E11.5.1	Cni-copb-2.1, Cni-copb-2.2
OG0009207	Transcript_CBG21671.1	transcript_QX1410.19709.1	Transcript_F38E11.7a.1, Transcript_F38E11.7b.1	Cni-wrt-3
OG0009208	Transcript_CBG21683.1	transcript_QX1410.19723.1	Transcript_C33A12.6a.1, Transcript_C33A12.6b.1	Cnig_chr_IV.g13178
OG0009209	Transcript_CBG20103.1	transcript_QX1410.19800.1, transcript_QX1410.19800.2	Transcript_Y59E9AL.7.1	Cni-nbet-1.1
OG0009210	Transcript_CBG30431.1	transcript_QX1410.19799.1, transcript_QX1410.19799.2	Transcript_Y59E9AL.4.1	Cni-Y59E9AL.4
